title,url,image_url,year
Shuumatsu no Walküre III2021EP15TV,https://otakudesu.fit/series/shuumatsu-no-walkure-iii/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/12/1765383752-5166-kTs2WNZOukpWdNhoRlH94pSJ3xf.jpg?resize=200,300",2024
Nukitashi the Animation Specials2025EP2TV,https://otakudesu.fit/series/nukitashi-the-animation-specials/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/12/1764766852-7997-y9kuMGKMMtNgpqcHlgZlL4geEtn.jpg?resize=200,300",2025
CompletedTatsuki Fujimoto 17-262025EP8TV,https://otakudesu.fit/series/tatsuki-fujimoto-17-26/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/11/1762597447-3642-rVBxMx1IrBdxbxbBuOWK8kiurMB.jpg?resize=200,300",2022
Disney Twisted-Wonderland: The Animation2025EP8TV,https://otakudesu.fit/series/disney-twisted-wonderland-the-animation/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1761751736-2945-b7UAIvRrskSk18xGusose4U3Nel.jpg?resize=200,300",2021
Long Zu II: Daowangzhe Zhi Tong-EP10TV,https://otakudesu.fit/series/long-zu-ii-daowangzhe-zhi-tong/,https://otakudesu.fit/wp-content/uploads/2025/10/Long-Zu-II.webp,2024
Monster Strike: Deadverse Reloaded2025EP2TV,https://otakudesu.fit/series/monster-strike-deadverse-reloaded/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1761014017-9359-cPmRxg9Ww0TUr9O89Nu3ZoldTZk.jpg?resize=200,300",2025
"Kimi to Koete Koi ni Naru2009, 2025EP10TV",https://otakudesu.fit/series/kimi-to-koete-koi-ni-naru/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1760404730-4796-2FnGuEp0jNmS6CeS9DU497RAGzX.jpg?resize=200,300",2025
Isekai Quartet 32019EP10TV,https://otakudesu.fit/series/isekai-quartet-3/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1760345916-8550-1qkHR7hYbYKEUQORG2WuWmXlT0S.jpg?resize=200,300",2016
Chanto Suenai Kyuuketsuki-chan2025EP10TV,https://otakudesu.fit/series/chanto-suenai-kyuuketsuki-chan/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1760254613-4039-i2hhAwqhmIDPl8ZhCLpmRbQSInw.jpg?resize=200,300",2019
One Punch Man 32015TV,https://otakudesu.fit/series/one-punch-man-3-2/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1760254280-4525-jbYJuxfZMpYDalkiOnBcCv9TaL.jpg?resize=200,300",2024
Gnosia2025EP10TV,https://otakudesu.fit/series/gnosia/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1760165158-8367-pkUFNaZxbJx6TONuHy1hfyiIqXQ.jpg?resize=200,300",2024
WanDance2025EP11TV,https://otakudesu.fit/series/wandance/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759939034-3251-1FbU0jXGPTKKWtRkVD1zplH73La.jpg?resize=200,300",2025
Tensei Akujo no Kuro Rekishi2025EP11TV,https://otakudesu.fit/series/tensei-akujo-no-kuro-rekishi/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759887085-1992-yrAx1DmfnZjTs2NKsljqd60Kg9X.jpg?resize=200,300",2011
2200-nen Neko no Kuni Nippon2025EP4TV,https://otakudesu.fit/series/2200-nen-neko-no-kuni-nippon/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759840689-5991-wJF9KIeL5ieEEiGh3ZBIUOJr2bZ.jpg?resize=200,300",2016
Chitose-kun wa Ramune Bin no Naka2025EP8TV,https://otakudesu.fit/series/chitose-kun-wa-ramune-bin-no-naka/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759840600-1728-vtfibksdwu4gdzBhZTFeVdMwCFN.jpg?resize=200,300",2018
Heika Watashi wo Wasurete Kudasai2025EP11TV,https://otakudesu.fit/series/heika-watashi-wo-wasurete-kudasai/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/10/Heika-Watashi-wo-Wasurete-Kudasai.jpg?resize=200,300",2023
Tondemo Skill de Isekai Hourou Meshi 22023EP11TV,https://otakudesu.fit/series/tondemo-skill-de-isekai-hourou-meshi-2/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/10/Tondemo-Skill-de-Isekai-Hourou-Meshi-2.jpg?resize=200,300",2024
Ninja to Gokudou2025EP11TV,https://otakudesu.fit/series/ninja-to-gokudou/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759840109-5135-zOokyOcW8KtCTkF6Km6KZKABz83.jpg?resize=200,300",2025
3-nen Z-gumi Ginpachi-sensei2025EP11TV,https://otakudesu.fit/series/3-nen-z-gumi-ginpachi-sensei/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759748448-9732-fB1lukiQo7DQD1udkY52f8KuSZx.jpg?resize=200,300",2025
Debu to Love to Ayamachi to!2025EP11TV,https://otakudesu.fit/series/debu-to-love-to-ayamachi-to/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/10/151736.jpg?resize=200,300",2023
Egao no Taenai Shokuba desu.2025EP11TV,https://otakudesu.fit/series/egao-no-taenai-shokuba-desu/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759714473-7275-gVKAdE5KkozLw1MJDO10mrFnls2.jpg?resize=200,300",2025
One Punch Man 32015EP10TV,https://otakudesu.fit/series/one-punch-man-3/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759687530-5556-jbYJuxfZMpYDalkiOnBcCv9TaL.jpg?resize=200,300",2025
Sawaranaide Kotesashi-kun2025EP11TV,https://otakudesu.fit/series/sawaranaide-kotesashi-kun/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759671662-3594-5FTV4NI7kNJtDugMGzSmGeVE7cn.jpg?resize=200,300",2025
Alma-chan wa Kazoku ni Naritai2025EP11TV,https://otakudesu.fit/series/alma-chan-wants-to-be-a-family/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759670459-9060-sal3tEwQCv1Eh9PSMZbMpg8MUqe.jpg?resize=200,300",2024
Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga2025EP11TV,https://otakudesu.fit/series/ansatsusha-de-aru-ore-no-status-ga-yuusha-yori-mo-akiraka-ni-tsuyoi-no-da-ga/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759670077-1508-oQk3aXYEa4TMd9rAYgzDpAYTU8P.jpg?resize=200,300",2023
"Chichi wa Eiyuu, Haha wa Seirei, Musume no Watashi wa Tenseisha.2025EP11TV",https://otakudesu.fit/series/chichi-wa-eiyuu-haha-wa-seirei-musume-no-watashi-wa-tenseisha/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759669742-5740-i7sR7NbxWNlCkBHjoxcUfe3muLc.jpg?resize=200,300",2024
Kikaijikake no Marie2025EP11TV,https://otakudesu.fit/series/kikaijikake-no-marie/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759669172-9440-1uBvmTta9mVjHpO7K5mQm9B09ng.jpg?resize=200,300",2008
Ao no Orchestra 2nd Season2023EP11TV,https://otakudesu.fit/series/ao-no-orchestra-2nd-season/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759662395-9306-dN0yhGAMVdS7lIEk52gom9XO268.jpg?resize=200,300",2025
Uma Musume: Cinderella Gray Part 22025EP9TV,https://otakudesu.fit/series/uma-musume-cinderella-gray-part-2/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759631358-2294-ncq5uKIcifVITPIYT2G1KpUPMoW.jpg?resize=200,300",2023
SI-VIS: The Sound of Heroes2025EP11TV,https://otakudesu.fit/series/si-vis-the-sound-of-heroes/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759630931-3285-kEju7ai3eWcq6aNDl2uJkucOcDk.jpg?resize=200,300",2025
DIGIMON BEATBREAK2025EP11TV,https://otakudesu.fit/series/digimon-beatbreak/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759630836-3306-xMpYdceq9QABJgeRCKgQZecUfg.jpg?resize=200,300",2024
Tomodachi no Imouto ga Ore ni dake Uzai2025EP11TV,https://otakudesu.fit/series/tomodachi-no-imouto-ga-ore-ni-dake-uzai/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759558362-4789-HVmGFN9CmJCAKOGZoa99rLbE3h.jpg?resize=200,300",2022
Ranma 1/2 (2024) 2nd Season2024EP11TV,https://otakudesu.fit/series/ranma-1-2-2024-2nd-season/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759558109-5022-zQhwc27CWHM4zx9lJU9bI5FRQOm.jpg?resize=200,300",2021
Shuumatsu Touring2025EP11TV,https://otakudesu.fit/series/shuumatsu-touring/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759557707-9761-tVeLF6cUEqzdzqcEyWEN151zaa4.jpg?resize=200,300",2025
Toujima Tanzaburou wa Kamen Rider ni Naritai2025EP11TV,https://otakudesu.fit/series/toujima-tanzaburou-wa-kamen-rider-ni-naritai/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759557474-9790-GBRHxhdyPb16pLDdKflPjvfWQg.jpg?resize=200,300",2019
Kingdom 6th Season2012EP11TV,https://otakudesu.fit/series/kingdom-6th-season/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759557266-7113-dehuJJkKo50nYvCYppigrWejqLe.jpg?resize=200,300",2024
Fumetsu no Anata e Season 32021EP11TV,https://otakudesu.fit/series/fumetsu-no-anata-e-season-3/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759556183-1345-lA2jRBubr2OLOlbkJXuBXYqv4A9.jpg?resize=200,300",2025
Nageki no Bourei wa Intai shitai 22024EP11TV,https://otakudesu.fit/series/nageki-no-bourei-wa-intai-shitai-2/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759555870-1576-egViTAdBqUyUFI2sIBsGbnH5Sun.jpg?resize=200,300",2023
"Mikata ga Yowa Sugite Hojo Mahou ni Toushite Ita Kyuutei Mahoushi, Tsuihou Sarete Saikyou wo Mezasu2025EP11TV",https://otakudesu.fit/series/mikata-ga-yowa-sugite-hojo-mahou-ni-toushite-ita-kyuutei-mahoushi-tsuihou-sarete-saikyou-wo-mezasu/,https://image.tmdb.org/t/p/w300/qTlOvHUYW9GtLVImNH3MeCGBldq.jpg,2025
Spy x Family Season 32022EP11TV,https://otakudesu.fit/series/spyxfamily-season-3/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759554566-2067-3r4LYFuXrg3G8fepysr4xSLWnQL.jpg?resize=200,300",2025
Kekkon Yubiwa Monogatari 2nd Season2024EP11TV,https://otakudesu.fit/series/kekkon-yubiwa-monogatari-2nd-season/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759554150-3212-mNuV7Jti0jYQh34OP2WdmhflTDQ.jpg?resize=200,300",2025
Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun2025EP11TV,https://otakudesu.fit/series/kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759553841-4341-gNPBdqx36IWhMLT3xrNDEpTcBl4.jpg?resize=200,300",2019
Kagaku×Bouken Survival! 2nd Season2024EP1TV,https://otakudesu.fit/series/kagakuxbouken-survival-2nd-season/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759552124-8461-xkgX6eoe0WrvxSGrYtV6Md1kVx.jpg?resize=200,300",2023
Boku no Hero Academia FINAL SEASON2016EP11TV,https://otakudesu.fit/series/boku-no-hero-academia-final-season/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759551772-6984-phuYuzqWW9ru8EA3HVjE9W2Rr3M.jpg?resize=200,300",2024
JOCHUM Season 22024EP1TV,https://otakudesu.fit/series/jochum-season-2/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759551319-9906-7ymQoyECz1TRJCse33vCrCJquMB.jpg?resize=200,300",2025
SANDA2025EP11TV,https://otakudesu.fit/series/sanda/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759482268-1886-uPMJU0u3kOk9ITrsJnHpBFvEK0H.jpg?resize=200,300",2018
Hyakushou Kizoku 3rd Season2023EP1TV,https://otakudesu.fit/series/hyakushou-kizoku-3rd-season/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759481979-4775-gfaUr4Wan5BmJxoPOgX3S1lbXXu.jpg?resize=200,300",2025
Nohara Hiroshi: Hiru Meshi no Ryuugi2025EP11TV,https://otakudesu.fit/series/nohara-hiroshi-hiru-meshi-no-ryuugi/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759481504-4129-myXmN2P0RRZ0acVLGqSkhpQU3Pn.jpg?resize=200,300",2025
GANGLION2025EP2TV,https://otakudesu.fit/series/ganglion/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759454365-7061-bUmLo4YaaIvh4L38PZnr4dxbykI.jpg?resize=200,300",2024
Shinjiteita Nakamatachi ni Dungeon Okuchi de Korosarekaketa ga Gift “Mugen Gacha” de Level 9999 no Nakamatachi wo Te ni Irete Moto Party Member to Sekai ni Fukushuu & “Zamaa!” Shimasu!2025EP11TV,https://otakudesu.fit/series/shinjiteita-nakamatachi-ni-dungeon-okuchi-de-korosarekaketa-ga-gift-mugen-gacha-de-level-9999-no-nakamatachi-wo-te-ni-irete-moto-party-member-to-sekai-ni-fukushuu-zamaa-shimasu/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759454127-8934-uKzo8r3i3NNZSAVT0oOub4vFn5F.jpg?resize=200,300",2018
Shabake2025EP11TV,https://otakudesu.fit/series/shabake/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759453854-7821-gO3AZANXhcSlU2DjCwzyuSbqs9R.jpg?resize=200,300",2024
Saigo ni Hitotsu dake Onegai Shite mo Yoroshii Deshou ka2025EP12TV,https://otakudesu.fit/series/saigo-ni-hitotsu-dake-onegai-shite-mo-yoroshii-deshou-ka/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759453571-5726-u5kCaEFoDX30k68RwP4F6bsYQbb.jpg?resize=200,300",2024
Ganso! Bandori-chan2025TV,https://otakudesu.fit/series/ganso-bandori-chan/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759341720-1477-166Zsq2TYqjbJr2v5CBU0TZnLNe.jpg?resize=200,300",2024
Chou Futsuu Mahou Shoujo Asumi Toruverse-TV,https://otakudesu.fit/series/chou-futsuu-mahou-shoujo-asumi-toruverse/,https://otakudesu.fit/wp-content/themes/otakudesu/assets/img/noimage.png,2024
Bukiyou na Senpai.2025EP11TV,https://otakudesu.fit/series/bukiyou-na-senpai/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759341157-7658-lGhX1PyfZp5WzQBUTQISeG2ae1S.jpg?resize=200,300",2023
Taiyou yori mo Mabushii Hoshi2025EP11TV,https://otakudesu.fit/series/taiyou-yori-mo-mabushii-hoshi/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/10/1759340763-5862-yZ9k8exxlXuFXjAsmIIanpfdMQ7.jpg?resize=200,300",2024
Sylvanian Families: Freya no Wonder Days-TV,https://otakudesu.fit/series/sylvanian-families-freya-no-wonder-days/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/10/bx198921-NMVQx7KSCnTd.png?resize=200,300",2023
"Potion, Wagami wo Tasukeru2025EP11TV",https://otakudesu.fit/series/potion-wagami-wo-tasukeru/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/09/1759167623-5939-9gGvYKJbfvgBDy6yW9yzWMwc1GG.jpg?resize=200,300",2025
"Watashi wo Tabetai, Hitodenashi2025EP11TV",https://otakudesu.fit/series/watashi-wo-tabetai-hitodenashi/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/09/1759167311-3173-hSCfViaPd8qxSQU4oVe6v8dyONh.jpg?resize=200,300",2025
"Akujiki Reijou to Kyouketsu Koushaku: Sono Mamono, Watashi ga Oishiku Itadakimasu!2025EP11TV",https://otakudesu.fit/series/akujiki-reijou-to-kyouketsu-koushaku-sono-mamono-watashi-ga-oishiku-itadakimasu/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/09/1759120013-2144-nQ6jUd7bE8EG4wrBhhKhqqmjGsb.jpg?resize=200,300",2011
Let’s Play: Quest Darake no My Life2025EP12TV,https://otakudesu.fit/series/lets-play-quest-darake-no-my-life/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/09/1759119484-3854-sTZuWf7wV99y13VAYw1fBclgFKu.jpg?resize=200,300",2025
MUZIK TIGER In the Forest 22025EP1TV,https://otakudesu.fit/series/muzik-tiger-in-the-forest-2/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/09/1759119182-9191-b1Xn8rO707XNzRwTKPnHVgGJsWu.jpg?resize=200,300",2021
Kakuriyo no Yadomeshi 2nd Season2018EP12TV,https://otakudesu.fit/series/kakuriyo-no-yadomeshi-2nd-season/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/09/1759118809-6063-r1SZWuuPcAKcX4EzuEhZsO7LtTk.jpg?resize=200,300",2024
Yano-kun no Futsuu no Hibi2025EP12TV,https://otakudesu.fit/series/yano-kun-no-futsuu-no-hibi/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/09/1759118298-4886-xnSIm9IejX7g8sAsH0GidFlCIH4.jpg?resize=200,300",2025
Mofa Gongzhu De Xiao Fannao2025EP14TV,https://otakudesu.fit/series/mofa-gongzhu-de-xiao-fannao/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/09/1759117770-9882-jluxQcZqyQ8kRQYoEX2brheNMnV.jpg?resize=200,300",2025
Sozai Saishuka no Isekai Ryokouki2025EP12TV,https://otakudesu.fit/series/sozai-saishuka-no-isekai-ryokouki/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/09/1759117164-3516-AtpIf9wnT6IaHoG31XsdqZEEf80.jpg?resize=200,300",2024
Yasei no Last Boss ga Arawareta!2025EP12TV,https://otakudesu.fit/series/yasei-no-last-boss-ga-arawareta/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/09/1758987717-4317-uLkimDmIWb4VdgFUuiMlS8wGi5S.jpg?resize=200,300",2025
Towa no Yuugure2025EP11TV,https://otakudesu.fit/series/towa-no-yuugure/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/09/1758794224-1731-qg8KcFJB5ySSEJv9OlMYK9JEMbV.jpg?resize=200,300",2025
CompletedMushoku no Eiyuu: Betsu ni Skill Nanka Iranakatta n da ga2025EP12TV,https://otakudesu.fit/series/mushoku-no-eiyuu-betsu-ni-skill-nanka-iranakatta-n-da-ga/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/09/1758725769-6443-o2axKodGsInHYbuGNk9uquENtfR.jpg?resize=200,300",2015
Senpai wa Otokonoko Movie: Ame Nochi Hare-EP4TV,https://otakudesu.fit/series/senpai-wa-otokonoko-movie-ame-nochi-hare/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/08/146852.jpg?resize=200,300",2024
"CompletedMuchuu sa, Kimi ni.2025Ssummer,2025 EP5TV",https://otakudesu.fit/series/muchuu-sa-kimi-ni/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/08/1755756755-9414-AvcZ1SGxKMJFK6obLBT4Hy5yvLj.jpg?resize=200,300",2023
"CompletedKaraoke Iko!2025Ssummer,2025 EP5TV",https://otakudesu.fit/series/karaoke-iko/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1753335224-7339-rlGtT0fBfyRRnb6BpJIWRrLVS97.jpg?resize=200,300",2024
CompletedNukitashi THE ANIMATION2025EP11TV,https://otakudesu.fit/series/nukitashi-the-animation/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1752898284-7084-zlybZJXfu4IpPnWXhnRtobl9BgZ.jpg?resize=200,300",2025
CompletedUtagoe wa Mille-Feuille2025EP10TV,https://otakudesu.fit/series/utagoe-wa-mille-feuille/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1752850685-9504-9CFNfwkccKrINGf0bS8ZLm4SPAc.jpg?resize=200,300",2023
CompletedSAKAMOTO DAYS Part 22025EP11TV,https://otakudesu.fit/series/sakamoto-days-part-2/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1752488621-5676-wRpCqsJFyKNuh5FMegNPrhzp2NF.jpg?resize=200,300",2025
Tougen Anki2025EP22TV,https://otakudesu.fit/series/tougen-anki/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1752212329-7305-oDkYJlUVMLXEM4v2s6y4CrkD9Jn.jpg?resize=200,300",2025
Futari Solo Camp2025EP23TV,https://otakudesu.fit/series/futari-solo-camp-2/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1752171645-3347-gP7rdhoejxIwZUzB6vpnlsQsdOB.jpg?resize=200,300",2025
Futari Solo Camp2025EP1TV,https://otakudesu.fit/series/futari-solo-camp/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1752135084-8334-gP7rdhoejxIwZUzB6vpnlsQsdOB.jpg?resize=200,300",2019
Dr.STONE SCIENCE FUTURE Part 22019EP12TV,https://otakudesu.fit/series/dr-stone-science-future-part-2/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1752134472-2082-xbZQ3fDl0y5mt0ARwfeyrgQ4JTw.jpg?resize=200,300",2024
New PANTY & STOCKING with GARTERBELT2025EP1TV,https://otakudesu.fit/series/new-panty-stocking-with-garterbelt/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1752079735-4470-4BreeBRj2yJpqwlMtIlFhd8NI50.jpg?resize=200,300",2005
