title,url
Shuumatsu no Walküre III2021EP15TV,https://otakudesu.fit/series/shuumatsu-no-walkure-iii/
Nukitashi the Animation Specials2025EP2TV,https://otakudesu.fit/series/nukitashi-the-animation-specials/
CompletedTatsuki Fujimoto 17-262025EP8TV,https://otakudesu.fit/series/tatsuki-fujimoto-17-26/
Disney Twisted-Wonderland: The Animation2025EP8TV,https://otakudesu.fit/series/disney-twisted-wonderland-the-animation/
Long Zu II: Daowangzhe Zhi Tong-EP10TV,https://otakudesu.fit/series/long-zu-ii-daowangzhe-zhi-tong/
Monster Strike: Deadverse Reloaded2025EP2TV,https://otakudesu.fit/series/monster-strike-deadverse-reloaded/
"Kimi to Koete Koi ni Naru2009, 2025EP10TV",https://otakudesu.fit/series/kimi-to-koete-koi-ni-naru/
Isekai Quartet 32019EP10TV,https://otakudesu.fit/series/isekai-quartet-3/
Chanto Suenai Kyuuketsuki-chan2025EP10TV,https://otakudesu.fit/series/chanto-suenai-kyuuketsuki-chan/
One Punch Man 32015TV,https://otakudesu.fit/series/one-punch-man-3-2/
Gnosia2025EP10TV,https://otakudesu.fit/series/gnosia/
WanDance2025EP11TV,https://otakudesu.fit/series/wandance/
Tensei Akujo no Kuro Rekishi2025EP11TV,https://otakudesu.fit/series/tensei-akujo-no-kuro-rekishi/
2200-nen Neko no Kuni Nippon2025EP4TV,https://otakudesu.fit/series/2200-nen-neko-no-kuni-nippon/
Chitose-kun wa Ramune Bin no Naka2025EP8TV,https://otakudesu.fit/series/chitose-kun-wa-ramune-bin-no-naka/
Heika Watashi wo Wasurete Kudasai2025EP11TV,https://otakudesu.fit/series/heika-watashi-wo-wasurete-kudasai/
Tondemo Skill de Isekai Hourou Meshi 22023EP11TV,https://otakudesu.fit/series/tondemo-skill-de-isekai-hourou-meshi-2/
Ninja to Gokudou2025EP11TV,https://otakudesu.fit/series/ninja-to-gokudou/
3-nen Z-gumi Ginpachi-sensei2025EP11TV,https://otakudesu.fit/series/3-nen-z-gumi-ginpachi-sensei/
Debu to Love to Ayamachi to!2025EP11TV,https://otakudesu.fit/series/debu-to-love-to-ayamachi-to/
Egao no Taenai Shokuba desu.2025EP11TV,https://otakudesu.fit/series/egao-no-taenai-shokuba-desu/
One Punch Man 32015EP10TV,https://otakudesu.fit/series/one-punch-man-3/
Sawaranaide Kotesashi-kun2025EP11TV,https://otakudesu.fit/series/sawaranaide-kotesashi-kun/
Alma-chan wa Kazoku ni Naritai2025EP11TV,https://otakudesu.fit/series/alma-chan-wants-to-be-a-family/
Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga2025EP11TV,https://otakudesu.fit/series/ansatsusha-de-aru-ore-no-status-ga-yuusha-yori-mo-akiraka-ni-tsuyoi-no-da-ga/
"Chichi wa Eiyuu, Haha wa Seirei, Musume no Watashi wa Tenseisha.2025EP11TV",https://otakudesu.fit/series/chichi-wa-eiyuu-haha-wa-seirei-musume-no-watashi-wa-tenseisha/
Kikaijikake no Marie2025EP11TV,https://otakudesu.fit/series/kikaijikake-no-marie/
Ao no Orchestra 2nd Season2023EP11TV,https://otakudesu.fit/series/ao-no-orchestra-2nd-season/
Uma Musume: Cinderella Gray Part 22025EP9TV,https://otakudesu.fit/series/uma-musume-cinderella-gray-part-2/
SI-VIS: The Sound of Heroes2025EP11TV,https://otakudesu.fit/series/si-vis-the-sound-of-heroes/
DIGIMON BEATBREAK2025EP11TV,https://otakudesu.fit/series/digimon-beatbreak/
Tomodachi no Imouto ga Ore ni dake Uzai2025EP11TV,https://otakudesu.fit/series/tomodachi-no-imouto-ga-ore-ni-dake-uzai/
Ranma 1/2 (2024) 2nd Season2024EP11TV,https://otakudesu.fit/series/ranma-1-2-2024-2nd-season/
Shuumatsu Touring2025EP11TV,https://otakudesu.fit/series/shuumatsu-touring/
Toujima Tanzaburou wa Kamen Rider ni Naritai2025EP11TV,https://otakudesu.fit/series/toujima-tanzaburou-wa-kamen-rider-ni-naritai/
Kingdom 6th Season2012EP11TV,https://otakudesu.fit/series/kingdom-6th-season/
Fumetsu no Anata e Season 32021EP11TV,https://otakudesu.fit/series/fumetsu-no-anata-e-season-3/
Nageki no Bourei wa Intai shitai 22024EP11TV,https://otakudesu.fit/series/nageki-no-bourei-wa-intai-shitai-2/
"Mikata ga Yowa Sugite Hojo Mahou ni Toushite Ita Kyuutei Mahoushi, Tsuihou Sarete Saikyou wo Mezasu2025EP11TV",https://otakudesu.fit/series/mikata-ga-yowa-sugite-hojo-mahou-ni-toushite-ita-kyuutei-mahoushi-tsuihou-sarete-saikyou-wo-mezasu/
Spy x Family Season 32022EP11TV,https://otakudesu.fit/series/spyxfamily-season-3/
Kekkon Yubiwa Monogatari 2nd Season2024EP11TV,https://otakudesu.fit/series/kekkon-yubiwa-monogatari-2nd-season/
Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun2025EP11TV,https://otakudesu.fit/series/kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun/
Kagaku×Bouken Survival! 2nd Season2024EP1TV,https://otakudesu.fit/series/kagakuxbouken-survival-2nd-season/
Boku no Hero Academia FINAL SEASON2016EP11TV,https://otakudesu.fit/series/boku-no-hero-academia-final-season/
JOCHUM Season 22024EP1TV,https://otakudesu.fit/series/jochum-season-2/
